id;explanation;counterbalance;task;threshold;robot;completeness;ticks;moves;robot_messages;human_messages;total_allocations;human_allocations;robot_allocations;total_interventions;disagreement_rate;correct_behavior_rate;incorrect_behavior_rate;correct_intervention_rate;incorrect_intervention_rate;firefighter_decisions;firefighter_danger;firefighter_danger_rate;CRR_ND_self;FR_ND_self;FRR_MD_self;CR_MD_self;CRR_MD_robot;FR_MD_robot;CRR_ND_robot;FR_ND_robot
id99;shap;1;1;5.0;Brutus;0.375;237;82;23;3;2;3;0;0;0.0;1.0;0.0;0;0;1;1;1.0;0;0;0;0;2;0;;
id99;shap;1;6;5.0;Brutus;0.0;529;156;38;4;3;3;0;0;0.0;1.0;0.0;0;0;1;0;0.0;0;0;0;0;3;0;;
id;shap;1;1;5.0;Brutus;0.125;144;46;15;3;2;2;0;0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0;2;0;;
id1;shap;1;1;5.0;Brutus;0.0;153;33;14;3;2;2;0;0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0;2;0;;
id1;shap;1;6;5.0;Brutus;0.0;508;147;35;4;3;3;0;0;0.0;1.0;0.0;0;0;1;0;0.0;0;0;0;0;3;0;;
id;shap;1;1;5.0;Brutus;0.875;1080;292;90;10;12;3;9;3;0.25;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.3333333333333333;4;1;0.25;3;1;3;2;3;0;;
id;shap;5;6;5.0;Brutus;0.5;720;297;59;3;7;2;5;0;0.0;0.7142857142857143;0.2857142857142857;0;0;1;0;0.0;3;0;2;0;2;0;;
id;shap;9;2;5.0;Brutus;0.625;1080;360;85;1;13;0;13;0;0.0;0.6923076923076923;0.3076923076923077;0;0;2;0;0.0;9;0;4;0;0;0;;
id;shap;13;3;5.0;Brutus;0.6666666666666666;720;245;61;2;7;1;6;0;0.0;0.8571428571428571;0.14285714285714285;0;0;2;1;0.5;5;0;1;0;1;0;;
id;shap;1;1;5.0;Brutus;0.0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
id;shap;1;4;5.0;Brutus;0.0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
id;shap;1;2;3.5;Titus;0.0;3;1;1;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0
id;shap;1;3;3.5;Titus;0.0;3;1;1;0;0;0;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0
